AirportFrom,AirportTo,route_flight_cnt_train,route_delay_rate_train
SNA,PHX,350,0.5142857142857142
ORD,PDX,127,0.4251968503937008
MCI,MKE,73,0.6164383561643836
SMF,BUR,175,0.6
PHL,MCO,375,0.448
BQN,MCO,25,0.4
ATL,GSP,227,0.40969162995594716
MLI,MCO,15,0.4
PBI,DCA,56,0.3392857142857143
LAS,LIT,26,0.8461538461538461
DSM,MCO,8,0.875
CLE,SJU,5,0.8
MCI,IAH,222,0.36036036036036034
EWR,STT,15,0.6
ROC,CLE,64,0.1875
TYS,MIA,53,0.22641509433962265
SPI,ORD,141,0.2624113475177305
AMA,MEM,47,0.2765957446808511
AUS,ELP,72,0.625
SJC,ONT,111,0.6756756756756757
LIH,DEN,4,0.0
JFK,ORD,181,0.4530386740331492
BTV,MCO,19,0.10526315789473684
BMI,MCO,15,0.4666666666666667
CAE,ATL,240,0.35
TPA,CVG,53,0.11320754716981132
CLE,MCI,87,0.3563218390804598
ICT,IAH,105,0.29523809523809524
CVG,BDL,69,0.30434782608695654
SFO,TUS,48,0.5416666666666666
CPR,DEN,93,0.3225806451612903
OTH,PDX,22,0.45454545454545453
HOU,PHL,29,0.6896551724137931
MCO,PVD,111,0.4864864864864865
MCO,SFO,26,0.07692307692307693
JFK,BTV,151,0.4304635761589404
WRG,PSG,25,0.32
PVD,LAS,25,0.2
BWI,MDW,154,0.6363636363636364
JFK,SRQ,49,0.2857142857142857
FLL,PVD,35,0.6571428571428571
LAX,PIT,25,0.36
DFW,SDF,93,0.3763440860215054
PVD,TPA,47,0.5957446808510638
MYR,CLT,106,0.1320754716981132
ABE,FLL,15,0.2
ATL,HDN,12,0.5
BOS,CVG,84,0.4166666666666667
DTW,MKE,107,0.4953271028037383
BOS,MEM,36,0.4444444444444444
DFW,PNS,124,0.3548387096774194
FAT,LAX,246,0.37398373983739835
ORD,FWA,121,0.45454545454545453
TRI,ORD,50,0.22
PSC,SLC,99,0.40404040404040403
MSP,BOI,24,0.75
MLU,MEM,45,0.3111111111111111
COS,SFO,26,0.38461538461538464
IND,TPA,70,0.3142857142857143
SMF,PHX,239,0.7071129707112971
BUF,BWI,135,0.8148148148148148
ADQ,ANC,49,0.32653061224489793
KOA,PHX,19,0.05263157894736842
ORD,BUF,202,0.40594059405940597
CAK,ATL,235,0.42127659574468085
IND,IAH,120,0.38333333333333336
MIA,BNA,78,0.38461538461538464
BOS,MSP,110,0.6181818181818182
CVG,ORD,305,0.3016393442622951
HPN,MCO,118,0.3983050847457627
CHS,ATL,257,0.28793774319066145
SMF,OGG,28,0.32142857142857145
CLT,CHS,115,0.45217391304347826
EWR,CMH,90,0.5444444444444444
DFW,HOU,174,0.3218390804597701
SBA,LAX,311,0.39228295819935693
ORD,CAE,68,0.6029411764705882
FAR,DEN,95,0.3894736842105263
SFO,BOI,100,0.6
STL,BWI,107,0.7757009345794392
PHX,TUL,53,0.6415094339622641
IAD,SEA,67,0.5223880597014925
MCI,DEN,283,0.4876325088339223
MIA,DTW,116,0.3275862068965517
FLL,SFO,21,0.8095238095238095
BNA,SAN,27,0.9259259259259259
SEA,RNO,24,0.6666666666666666
MKE,DEN,175,0.5428571428571428
SJU,DTW,5,0.0
DEN,ABQ,178,0.48314606741573035
MCO,MHT,77,0.5194805194805194
PHF,LGA,53,0.3584905660377358
SLC,CVG,51,0.6470588235294118
MCO,DAY,27,0.25925925925925924
CLE,DEN,77,0.5324675324675324
BTR,MEM,46,0.34782608695652173
DEN,RAP,145,0.43448275862068964
SBP,SFO,128,0.46875
LAX,SBP,133,0.3533834586466165
SNA,SFO,300,0.6233333333333333
HNL,DEN,32,0.125
BOS,LAS,44,0.4318181818181818
FLL,BWI,180,0.46111111111111114
SAT,LAS,98,0.5918367346938775
LAS,OKC,49,0.7551020408163265
LAS,AUS,68,0.8088235294117647
LAX,MCO,102,0.49019607843137253
LAS,ORD,237,0.25316455696202533
CLE,IAH,157,0.4140127388535032
PHX,DFW,361,0.2299168975069252
PHX,TUS,228,0.14473684210526316
BWI,GRR,51,0.29411764705882354
BOS,JFK,429,0.3613053613053613
GEG,MSP,51,0.5686274509803921
SEA,DTW,64,0.515625
IAH,LIT,143,0.3076923076923077
SCE,DTW,67,0.417910447761194
